iter	Passed	Remaining
0	133	133125
1	137	68638
2	141	47031
3	144	36058
4	147	29364
5	150	24950
6	164	23301
7	167	20767
8	170	18812
9	173	17218
10	176	15908
11	180	14821
12	182	13843
13	184	13002
14	187	12289
15	189	11661
16	192	11116
17	194	10623
18	197	10183
19	199	9783
20	202	9426
21	204	9092
22	206	8790
23	209	8516
24	211	8259
25	214	8024
26	216	7802
27	218	7599
28	221	7411
29	223	7234
30	226	7065
31	228	6909
32	230	6765
33	233	6628
34	235	6496
35	237	6372
36	240	6260
37	242	6148
38	245	6045
39	247	5946
40	250	5852
41	252	5760
42	254	5672
43	257	5600
44	260	5527
45	262	5453
46	265	5385
47	268	5316
48	270	5249
49	272	5184
50	275	5123
51	277	5065
52	281	5023
53	284	4987
54	288	4959
55	291	4919
56	295	4883
57	297	4838
58	300	4788
59	304	4769
60	308	4754
61	312	4732
62	347	5161
63	350	5120
64	352	5077
65	355	5036
66	359	5005
67	362	4962
68	364	4919
69	366	4874
70	369	4832
71	371	4792
72	374	4751
73	376	4707
74	378	4664
75	380	4624
76	382	4584
77	384	4544
78	386	4506
79	389	4475
80	395	4487
81	400	4479
82	402	4452
83	407	4442
84	412	4437
85	415	4418
86	418	4392
87	420	4361
88	430	4403
89	439	4444
90	443	4432
91	449	4435
92	468	4571
93	474	4576
94	479	4570
95	486	4583
96	491	4577
97	495	4558
98	499	4545
99	505	4548
100	510	4542
101	513	4523
102	517	4506
103	520	4480
104	522	4456
105	559	4717
106	562	4692
107	564	4666
108	568	4643
109	571	4620
110	574	4597
111	577	4577
112	580	4557
113	585	4546
114	588	4532
115	592	4514
116	595	4492
117	597	4468
118	601	4452
119	608	4460
120	612	4448
121	617	4441
122	620	4426
123	623	4405
124	626	4388
125	630	4376
126	634	4358
127	638	4350
128	648	4381
129	651	4361
130	659	4377
131	676	4451
132	680	4438
133	683	4419
134	687	4404
135	691	4395
136	695	4382
137	699	4368
138	704	4364
139	709	4360
140	714	4355
141	720	4351
142	742	4448
143	745	4428
144	747	4407
145	749	4385
146	751	4363
147	754	4342
148	769	4396
149	803	4551
150	818	4602
151	822	4587
152	825	4569
153	828	4551
154	832	4540
155	835	4520
156	839	4507
157	843	4495
158	846	4477
159	849	4460
160	854	4453
161	857	4436
162	860	4416
163	862	4397
164	866	4385
165	870	4374
166	874	4360
167	877	4347
168	880	4330
169	883	4313
170	888	4306
171	896	4315
172	900	4306
173	904	4293
174	907	4278
175	910	4262
176	912	4244
177	915	4226
178	918	4210
179	921	4197
180	924	4183
181	936	4210
182	948	4232
183	955	4238
184	967	4260
185	979	4286
186	1028	4471
187	1033	4462
188	1039	4458
189	1044	4454
190	1065	4511
191	1075	4524
192	1079	4514
193	1084	4504
194	1091	4505
195	1094	4490
196	1097	4474
197	1101	4460
198	1108	4463
199	1112	4450
200	1115	4432
201	1118	4416
202	1121	4404
203	1124	4386
204	1130	4383
205	1139	4391
206	1144	4385
207	1150	4380
208	1154	4369
209	1157	4354
210	1160	4338
211	1163	4324
212	1166	4310
213	1170	4298
214	1172	4282
215	1175	4265
216	1177	4248
217	1179	4232
218	1181	4215
219	1185	4201
220	1188	4190
221	1191	4175
222	1195	4163
